"LANGUAGE","Español"
"VSD_DESC","Intenta ralentizar la generación de vehículos de transporte."
"VSD_DEP_PER","Usar temporizadores separados para cada central"
"VSD_BUS_DEL","Demora de generación de Autobuses"
"VSD_TRA_DEL","Demora de generación de Tranvías"
"VSD_TRO_DEL","Demora de generación de Trolebuses"
"VSD_HEL_DEL","Demora de generación de Helicópteros Civiles"
"VSD_BLI_DEL","Demora de generación de Dirigibles"
"VSD_TRN_DWE","Tiempo minimo por parada"
"VSD_TIM_BLK","Generación bloqueada para"
"VSD_TIM_APP","Tiempo aproximadamente del juego"
"VSD_TIM_HR","hora"
"VSD_TIM_HRS","horas"
"VSD_TIM_MN","minuto"
"VSD_TIM_MNS","minutos"
"VSD_TIM_SNS","segundos a velocidad normal"
"TRN_CHOICE","Elegir idioma"
"LANGUAGE_GAME","Utilizar idioma del juego"
