"LANGUAGE","Français"
"VSD_DESC","Tente de ralentir l'apparition des véhicules de transport."
"VSD_DEP_PER","Utiliser des minuteurs séparés pour chaque dépôt"
"VSD_BUS_DEL","Délai d'apparition des bus"
"VSD_TRA_DEL","Délai d'apparition des trams"
"VSD_TRO_DEL","Délai d'apparition des trolleybus"
"VSD_HEL_DEL","Délai d'apparition des hélicoptères de passagers"
"VSD_BLI_DEL","Délai d'apparition des dirigeables"
"VSD_TRN_DWE","Temps de séjour minimal des trains"
"VSD_TIM_BLK","Apparition bloquée pour"
"VSD_TIM_APP","Temps approximatif dans le jeu"
"VSD_TIM_HR","heure"
"VSD_TIM_HRS","heures"
"VSD_TIM_MN","minute"
"VSD_TIM_MNS","minutes"
"VSD_TIM_SNS","Secondes à la vitesse normale"
"TRN_CHOICE","Définir la langue"
"LANGUAGE_GAME","Utiliser la langue du jeu"
