"LANGUAGE","Bahasa Indonesia"
"VSD_DESC","Upaya untuk memperlambat munculnya kendaraan transportasi."
"VSD_DEP_PER","Gunakan timer terpisah untuk setiap depot"
"VSD_BUS_DEL","Penundaan munculnya Bus"
"VSD_TRA_DEL","Penundaan munculnya Tram"
"VSD_TRO_DEL","Penundaan munculnya Trolleybus"
"VSD_HEL_DEL","Penundaan munculnya Helikopter Penumpang"
"VSD_BLI_DEL","Penundaan munculnya Blimp"
"VSD_TRN_DWE","Waktu tinggal kereta minimum"
"VSD_TIM_BLK","Pemunculan diblokir untuk"
"VSD_TIM_APP","Waktu dalam game kira-kira"
"VSD_TIM_HR","jam"
"VSD_TIM_HRS","jam"
"VSD_TIM_MN","menit"
"VSD_TIM_MNS","menit"
"VSD_TIM_SNS","detik saat kecepatan normal"
"TRN_CHOICE","Atur bahasa"
"LANGUAGE_GAME","Gunakan bahasa game"
