"LANGUAGE","Українська"
"VSD_DESC","Налаштування швидкості створення транспортних засобів."
"VSD_DEP_PER","Використовувати окремі таймери для кожного депо"
"VSD_BUS_DEL","Затримка появи автобуса"
"VSD_TRA_DEL","Затримка появи трамваю"
"VSD_TRO_DEL","Затримка появи тролейбуса"
"VSD_HEL_DEL","Затримка появи пасажирських вертольотів"
"VSD_BLI_DEL","Затримка появи дирижабля"
"VSD_TRN_DWE","Мінімальний час очікування потягу"
"VSD_TIM_BLK","Поява заблокована для"
"VSD_TIM_APP","Ігровий час приблизно"
"VSD_TIM_HR","година"
"VSD_TIM_HRS","годин"
"VSD_TIM_MN","хвилина"
"VSD_TIM_MNS","хвилини"
"VSD_TIM_SNS","секунд на нормальній швидкості"
"TRN_CHOICE","Вибрати мову"
"LANGUAGE_GAME","Мова гри"
